state,sector,date,value,year
Johor,domestic,1/1/03,560,2003
Johor,domestic,1/1/04,610,2004
Johor,domestic,1/1/05,621,2005
Johor,domestic,1/1/06,644,2006
Johor,domestic,1/1/07,664,2007
Johor,domestic,1/1/08,682,2008
Johor,domestic,1/1/09,713,2009
Johor,domestic,1/1/10,730,2010
Johor,domestic,1/1/11,738,2011
Johor,domestic,1/1/12,769,2012
Johor,domestic,1/1/13,797,2013
Johor,domestic,1/1/14,823,2014
Johor,domestic,1/1/15,811,2015
Johor,domestic,1/1/16,773,2016
Johor,domestic,1/1/17,785,2017
Johor,domestic,1/1/18,809,2018
Johor,domestic,1/1/19,835,2019
Johor,domestic,1/1/20,867,2020
Johor,domestic,1/1/21,879,2021
Johor,domestic,1/1/22,867,2022
Johor,nondomestic,1/1/03,246,2003
Johor,nondomestic,1/1/04,225,2004
Johor,nondomestic,1/1/05,235,2005
Johor,nondomestic,1/1/06,255,2006
Johor,nondomestic,1/1/07,289,2007
Johor,nondomestic,1/1/08,300,2008
Johor,nondomestic,1/1/09,285,2009
Johor,nondomestic,1/1/10,306,2010
Johor,nondomestic,1/1/11,323,2011
Johor,nondomestic,1/1/12,341,2012
Johor,nondomestic,1/1/13,366,2013
Johor,nondomestic,1/1/14,391,2014
Johor,nondomestic,1/1/15,448,2015
Johor,nondomestic,1/1/16,513,2016
Johor,nondomestic,1/1/17,535,2017
Johor,nondomestic,1/1/18,576,2018
Johor,nondomestic,1/1/19,599,2019
Johor,nondomestic,1/1/20,526,2020
Johor,nondomestic,1/1/21,505,2021
Johor,nondomestic,1/1/22,536,2022
Kedah,domestic,1/1/03,388,2003
Kedah,domestic,1/1/04,412,2004
Kedah,domestic,1/1/05,420,2005
Kedah,domestic,1/1/06,434,2006
Kedah,domestic,1/1/07,471,2007
Kedah,domestic,1/1/08,470,2008
Kedah,domestic,1/1/09,474,2009
Kedah,domestic,1/1/10,444,2010
Kedah,domestic,1/1/11,459,2011
Kedah,domestic,1/1/12,474,2012
Kedah,domestic,1/1/13,487,2013
Kedah,domestic,1/1/14,510,2014
Kedah,domestic,1/1/15,511,2015
Kedah,domestic,1/1/16,525,2016
Kedah,domestic,1/1/17,523,2017
Kedah,domestic,1/1/18,544,2018
Kedah,domestic,1/1/19,551,2019
Kedah,domestic,1/1/20,574,2020
Kedah,domestic,1/1/21,590,2021
Kedah,domestic,1/1/22,560,2022
Kedah,nondomestic,1/1/03,114,2003
Kedah,nondomestic,1/1/04,134,2004
Kedah,nondomestic,1/1/05,137,2005
Kedah,nondomestic,1/1/06,132,2006
Kedah,nondomestic,1/1/07,164,2007
Kedah,nondomestic,1/1/08,167,2008
Kedah,nondomestic,1/1/09,171,2009
Kedah,nondomestic,1/1/10,213,2010
Kedah,nondomestic,1/1/11,181,2011
Kedah,nondomestic,1/1/12,165,2012
Kedah,nondomestic,1/1/13,164,2013
Kedah,nondomestic,1/1/14,187,2014
Kedah,nondomestic,1/1/15,191,2015
Kedah,nondomestic,1/1/16,200,2016
Kedah,nondomestic,1/1/17,195,2017
Kedah,nondomestic,1/1/18,201,2018
Kedah,nondomestic,1/1/19,208,2019
Kedah,nondomestic,1/1/20,193,2020
Kedah,nondomestic,1/1/21,179,2021
Kedah,nondomestic,1/1/22,217,2022
Kelantan,domestic,1/1/03,94,2003
Kelantan,domestic,1/1/04,102,2004
Kelantan,domestic,1/1/05,111,2005
Kelantan,domestic,1/1/06,116,2006
Kelantan,domestic,1/1/07,120,2007
Kelantan,domestic,1/1/08,122,2008
Kelantan,domestic,1/1/09,124,2009
Kelantan,domestic,1/1/10,124,2010
Kelantan,domestic,1/1/11,123,2011
Kelantan,domestic,1/1/12,130,2012
Kelantan,domestic,1/1/13,140,2013
Kelantan,domestic,1/1/14,154,2014
Kelantan,domestic,1/1/15,159,2015
Kelantan,domestic,1/1/16,163,2016
Kelantan,domestic,1/1/17,162,2017
Kelantan,domestic,1/1/18,164,2018
Kelantan,domestic,1/1/19,163,2019
Kelantan,domestic,1/1/20,170,2020
Kelantan,domestic,1/1/21,171,2021
Kelantan,domestic,1/1/22,162,2022
Kelantan,nondomestic,1/1/03,35,2003
Kelantan,nondomestic,1/1/04,40,2004
Kelantan,nondomestic,1/1/05,46,2005
Kelantan,nondomestic,1/1/06,48,2006
Kelantan,nondomestic,1/1/07,49,2007
Kelantan,nondomestic,1/1/08,51,2008
Kelantan,nondomestic,1/1/09,53,2009
Kelantan,nondomestic,1/1/10,55,2010
Kelantan,nondomestic,1/1/11,56,2011
Kelantan,nondomestic,1/1/12,58,2012
Kelantan,nondomestic,1/1/13,62,2013
Kelantan,nondomestic,1/1/14,71,2014
Kelantan,nondomestic,1/1/15,73,2015
Kelantan,nondomestic,1/1/16,76,2016
Kelantan,nondomestic,1/1/17,79,2017
Kelantan,nondomestic,1/1/18,85,2018
Kelantan,nondomestic,1/1/19,85,2019
Kelantan,nondomestic,1/1/20,75,2020
Kelantan,nondomestic,1/1/21,68,2021
Kelantan,nondomestic,1/1/22,77,2022
Melaka,domestic,1/1/03,153,2003
Melaka,domestic,1/1/04,144,2004
Melaka,domestic,1/1/05,150,2005
Melaka,domestic,1/1/06,155,2006
Melaka,domestic,1/1/07,196,2007
Melaka,domestic,1/1/08,202,2008
Melaka,domestic,1/1/09,173,2009
Melaka,domestic,1/1/10,177,2010
Melaka,domestic,1/1/11,180,2011
Melaka,domestic,1/1/12,187,2012
Melaka,domestic,1/1/13,193,2013
Melaka,domestic,1/1/14,196,2014
Melaka,domestic,1/1/15,202,2015
Melaka,domestic,1/1/16,206,2016
Melaka,domestic,1/1/17,206,2017
Melaka,domestic,1/1/18,209,2018
Melaka,domestic,1/1/19,210,2019
Melaka,domestic,1/1/20,215,2020
Melaka,domestic,1/1/21,230,2021
Melaka,domestic,1/1/22,228,2022
Melaka,nondomestic,1/1/03,143,2003
Melaka,nondomestic,1/1/04,122,2004
Melaka,nondomestic,1/1/05,135,2005
Melaka,nondomestic,1/1/06,132,2006
Melaka,nondomestic,1/1/07,93,2007
Melaka,nondomestic,1/1/08,98,2008
Melaka,nondomestic,1/1/09,138,2009
Melaka,nondomestic,1/1/10,150,2010
Melaka,nondomestic,1/1/11,161,2011
Melaka,nondomestic,1/1/12,175,2012
Melaka,nondomestic,1/1/13,182,2013
Melaka,nondomestic,1/1/14,180,2014
Melaka,nondomestic,1/1/15,186,2015
Melaka,nondomestic,1/1/16,199,2016
Melaka,nondomestic,1/1/17,207,2017
Melaka,nondomestic,1/1/18,207,2018
Melaka,nondomestic,1/1/19,214,2019
Melaka,nondomestic,1/1/20,189,2020
Melaka,nondomestic,1/1/21,184,2021
Melaka,nondomestic,1/1/22,190,2022
Negeri Sembilan,domestic,1/1/03,184,2003
Negeri Sembilan,domestic,1/1/04,183,2004
Negeri Sembilan,domestic,1/1/05,181,2005
Negeri Sembilan,domestic,1/1/06,190,2006
Negeri Sembilan,domestic,1/1/07,231,2007
Negeri Sembilan,domestic,1/1/08,237,2008
Negeri Sembilan,domestic,1/1/09,213,2009
Negeri Sembilan,domestic,1/1/10,229,2010
Negeri Sembilan,domestic,1/1/11,239,2011
Negeri Sembilan,domestic,1/1/12,247,2012
Negeri Sembilan,domestic,1/1/13,255,2013
Negeri Sembilan,domestic,1/1/14,259,2014
Negeri Sembilan,domestic,1/1/15,276,2015
Negeri Sembilan,domestic,1/1/16,287,2016
Negeri Sembilan,domestic,1/1/17,288,2017
Negeri Sembilan,domestic,1/1/18,293,2018
Negeri Sembilan,domestic,1/1/19,294,2019
Negeri Sembilan,domestic,1/1/20,318,2020
Negeri Sembilan,domestic,1/1/21,327,2021
Negeri Sembilan,domestic,1/1/22,307,2022
Negeri Sembilan,nondomestic,1/1/03,122,2003
Negeri Sembilan,nondomestic,1/1/04,112,2004
Negeri Sembilan,nondomestic,1/1/05,121,2005
Negeri Sembilan,nondomestic,1/1/06,108,2006
Negeri Sembilan,nondomestic,1/1/07,87,2007
Negeri Sembilan,nondomestic,1/1/08,92,2008
Negeri Sembilan,nondomestic,1/1/09,122,2009
Negeri Sembilan,nondomestic,1/1/10,180,2010
Negeri Sembilan,nondomestic,1/1/11,172,2011
Negeri Sembilan,nondomestic,1/1/12,192,2012
Negeri Sembilan,nondomestic,1/1/13,213,2013
Negeri Sembilan,nondomestic,1/1/14,217,2014
Negeri Sembilan,nondomestic,1/1/15,217,2015
Negeri Sembilan,nondomestic,1/1/16,233,2016
Negeri Sembilan,nondomestic,1/1/17,231,2017
Negeri Sembilan,nondomestic,1/1/18,238,2018
Negeri Sembilan,nondomestic,1/1/19,244,2019
Negeri Sembilan,nondomestic,1/1/20,222,2020
Negeri Sembilan,nondomestic,1/1/21,222,2021
Negeri Sembilan,nondomestic,1/1/22,231,2022
Pahang,domestic,1/1/03,211,2003
Pahang,domestic,1/1/04,214,2004
Pahang,domestic,1/1/05,223,2005
Pahang,domestic,1/1/06,233,2006
Pahang,domestic,1/1/07,308,2007
Pahang,domestic,1/1/08,320,2008
Pahang,domestic,1/1/09,271,2009
Pahang,domestic,1/1/10,264,2010
Pahang,domestic,1/1/11,286,2011
Pahang,domestic,1/1/12,287,2012
Pahang,domestic,1/1/13,299,2013
Pahang,domestic,1/1/14,303,2014
Pahang,domestic,1/1/15,309,2015
Pahang,domestic,1/1/16,342,2016
Pahang,domestic,1/1/17,333,2017
Pahang,domestic,1/1/18,333,2018
Pahang,domestic,1/1/19,339,2019
Pahang,domestic,1/1/20,367,2020
Pahang,domestic,1/1/21,391,2021
Pahang,domestic,1/1/22,385,2022
Pahang,nondomestic,1/1/03,131,2003
Pahang,nondomestic,1/1/04,136,2004
Pahang,nondomestic,1/1/05,134,2005
Pahang,nondomestic,1/1/06,142,2006
Pahang,nondomestic,1/1/07,104,2007
Pahang,nondomestic,1/1/08,111,2008
Pahang,nondomestic,1/1/09,96,2009
Pahang,nondomestic,1/1/10,168,2010
Pahang,nondomestic,1/1/11,186,2011
Pahang,nondomestic,1/1/12,209,2012
Pahang,nondomestic,1/1/13,205,2013
Pahang,nondomestic,1/1/14,216,2014
Pahang,nondomestic,1/1/15,223,2015
Pahang,nondomestic,1/1/16,238,2016
Pahang,nondomestic,1/1/17,250,2017
Pahang,nondomestic,1/1/18,256,2018
Pahang,nondomestic,1/1/19,288,2019
Pahang,nondomestic,1/1/20,264,2020
Pahang,nondomestic,1/1/21,251,2021
Pahang,nondomestic,1/1/22,283,2022
Perak,domestic,1/1/03,450,2003
Perak,domestic,1/1/04,474,2004
Perak,domestic,1/1/05,487,2005
Perak,domestic,1/1/06,486,2006
Perak,domestic,1/1/07,496,2007
Perak,domestic,1/1/08,508,2008
Perak,domestic,1/1/09,526,2009
Perak,domestic,1/1/10,552,2010
Perak,domestic,1/1/11,556,2011
Perak,domestic,1/1/12,592,2012
Perak,domestic,1/1/13,607,2013
Perak,domestic,1/1/14,623,2014
Perak,domestic,1/1/15,628,2015
Perak,domestic,1/1/16,655,2016
Perak,domestic,1/1/17,648,2017
Perak,domestic,1/1/18,665,2018
Perak,domestic,1/1/19,679,2019
Perak,domestic,1/1/20,706,2020
Perak,domestic,1/1/21,703,2021
Perak,domestic,1/1/22,699,2022
Perak,nondomestic,1/1/03,150,2003
Perak,nondomestic,1/1/04,161,2004
Perak,nondomestic,1/1/05,175,2005
Perak,nondomestic,1/1/06,182,2006
Perak,nondomestic,1/1/07,185,2007
Perak,nondomestic,1/1/08,190,2008
Perak,nondomestic,1/1/09,194,2009
Perak,nondomestic,1/1/10,210,2010
Perak,nondomestic,1/1/11,216,2011
Perak,nondomestic,1/1/12,217,2012
Perak,nondomestic,1/1/13,228,2013
Perak,nondomestic,1/1/14,236,2014
Perak,nondomestic,1/1/15,250,2015
Perak,nondomestic,1/1/16,262,2016
Perak,nondomestic,1/1/17,260,2017
Perak,nondomestic,1/1/18,268,2018
Perak,nondomestic,1/1/19,278,2019
Perak,nondomestic,1/1/20,266,2020
Perak,nondomestic,1/1/21,266,2021
Perak,nondomestic,1/1/22,289,2022
Perlis,domestic,1/1/03,47,2003
Perlis,domestic,1/1/04,50,2004
Perlis,domestic,1/1/05,50,2005
Perlis,domestic,1/1/06,51,2006
Perlis,domestic,1/1/07,50,2007
Perlis,domestic,1/1/08,54,2008
Perlis,domestic,1/1/09,49,2009
Perlis,domestic,1/1/10,63,2010
Perlis,domestic,1/1/11,62,2011
Perlis,domestic,1/1/12,57,2012
Perlis,domestic,1/1/13,65,2013
Perlis,domestic,1/1/14,81,2014
Perlis,domestic,1/1/15,81,2015
Perlis,domestic,1/1/16,82,2016
Perlis,domestic,1/1/17,78,2017
Perlis,domestic,1/1/18,80,2018
Perlis,domestic,1/1/19,80,2019
Perlis,domestic,1/1/20,78,2020
Perlis,domestic,1/1/21,80,2021
Perlis,domestic,1/1/22,80,2022
Perlis,nondomestic,1/1/03,7,2003
Perlis,nondomestic,1/1/04,12,2004
Perlis,nondomestic,1/1/05,9,2005
Perlis,nondomestic,1/1/06,10,2006
Perlis,nondomestic,1/1/07,14,2007
Perlis,nondomestic,1/1/08,9,2008
Perlis,nondomestic,1/1/09,11,2009
Perlis,nondomestic,1/1/10,9,2010
Perlis,nondomestic,1/1/11,11,2011
Perlis,nondomestic,1/1/12,10,2012
Perlis,nondomestic,1/1/13,15,2013
Perlis,nondomestic,1/1/14,15,2014
Perlis,nondomestic,1/1/15,15,2015
Perlis,nondomestic,1/1/16,14,2016
Perlis,nondomestic,1/1/17,11,2017
Perlis,nondomestic,1/1/18,10,2018
Perlis,nondomestic,1/1/19,12,2019
Perlis,nondomestic,1/1/20,12,2020
Perlis,nondomestic,1/1/21,11,2021
Perlis,nondomestic,1/1/22,18,2022
Pulau Pinang,domestic,1/1/03,377,2003
Pulau Pinang,domestic,1/1/04,388,2004
Pulau Pinang,domestic,1/1/05,400,2005
Pulau Pinang,domestic,1/1/06,408,2006
Pulau Pinang,domestic,1/1/07,427,2007
Pulau Pinang,domestic,1/1/08,439,2008
Pulau Pinang,domestic,1/1/09,451,2009
Pulau Pinang,domestic,1/1/10,468,2010
Pulau Pinang,domestic,1/1/11,459,2011
Pulau Pinang,domestic,1/1/12,475,2012
Pulau Pinang,domestic,1/1/13,481,2013
Pulau Pinang,domestic,1/1/14,483,2014
Pulau Pinang,domestic,1/1/15,483,2015
